"","prim_state","area_name","tot_emp","emp_prse","jobs_1000","loc_quotient","mor","high_emp","low_emp"
"1","OH","Springfield, OH",NA,NA,"**","**",NA,NA,NA
"2","WA","Mount Vernon-Anacortes, WA",NA,NA,"**","**",NA,NA,NA
"3","PR","Aguadilla-Isabela-San Sebastian, PR",160,4.4,"3.727","3.62",21.4521080338496,194.323372854159,125.676627145841
"4","PR","Ponce, PR",180,3.6,"3.434","3.34",20.9313885867834,217.67649945621,142.32350054379
"5","PR","San German-Cabo Rojo, PR",50,0.2,"2.679","2.6",27.3438246553957,63.6719123276978,36.3280876723022
"6","PR","Mayaguez, PR",80,1.4,"2.563","2.49",24.7898427024005,99.8318741619204,60.1681258380796
"7","KY","Owensboro, KY",100,34,"2.099","2.04",23.6622187404758,123.662218740476,76.3377812595242
"8","NY","Nassau-Suffolk, NY Metropolitan Division",2530,6.6,"2.05","1.99",12.0593211485359,2835.10082505796,2224.89917494204
"9","MD","Bethesda-Rockville-Frederick, MD Metropolitan Division",1140,19.1,"2.036","1.98",14.2414342739259,1302.35235072276,977.647649277245
"10","CT","New Haven, CT",550,9,"2.01","1.95",16.580354964122,641.191952302671,458.808047697329
"11","MA","Haverhill-North Andover-Amesbury, MA-NH NECTA Division",160,6,"1.985","1.93",21.4521080338496,194.323372854159,125.676627145841
"12","FL","Tallahassee, FL",310,3,"1.975","1.92",18.687139401605,367.930132144976,252.069867855025
"13","NC","Durham-Chapel Hill, NC",540,1.7,"1.962","1.91",16.6439491144372,629.877325217961,450.122674782039
"14","NY","Ithaca, NY",100,33.7,"1.954","1.9",23.6622187404758,123.662218740476,76.3377812595242
"15","DE","Dover, DE",120,42.6,"1.952","1.9",22.7790656219517,147.334878746342,92.665121253658
"16","MO","St. Joseph, MO-KS",100,12.6,"1.942","1.89",23.6622187404758,123.662218740476,76.3377812595242
"17","FL","Gainesville, FL",220,9.1,"1.805","1.75",20.0731683024194,264.160970265323,175.839029734677
"18","NY","Poughkeepsie-Newburgh-Middletown, NY",440,10.3,"1.802","1.75",17.3704924300891,516.430166692392,363.569833307608
"19","IA","Iowa City, IA",160,45.5,"1.792","1.74",21.4521080338496,194.323372854159,125.676627145841
"20","KS","Lawrence, KS",80,11.7,"1.754","1.7",24.7898427024005,99.8318741619204,60.1681258380796
"21","MA","Worcester, MA-CT",420,6.9,"1.73","1.68",17.5399017579668,493.667587383461,346.332412616539
"22","ND","Grand Forks, ND-MN",90,2.8,"1.716","1.67",24.188104487933,111.76929403914,68.2307059608603
"23","IN","Anderson, IN",60,15.4,"1.7","1.65",26.3232616945993,75.7939570167596,44.2060429832404
"24","KS","Manhattan, KS",80,7.4,"1.68","1.63",24.7898427024005,99.8318741619204,60.1681258380796
"25","MA","Springfield, MA-CT",480,9.1,"1.67","1.62",17.0580080261972,561.878438525746,398.121561474254
"26","FL","Ocala, FL",150,40.7,"1.667","1.62",21.7429065573732,182.61435983606,117.38564016394
"27","AL","Auburn-Opelika, AL",80,6.7,"1.658","1.61",24.7898427024005,99.8318741619204,60.1681258380796
"28","CA","Madera-Chowchilla, CA",60,30.1,"1.655","1.61",26.3232616945993,75.7939570167596,44.2060429832404
"29","OH","Dayton, OH",610,29.7,"1.652","1.6",16.2260325266095,708.978798412318,511.021201587682
"30","SC","Sumter, SC",60,17,"1.644","1.6",26.3232616945993,75.7939570167596,44.2060429832404
"31","WI","Sheboygan, WI",90,16.8,"1.613","1.57",24.188104487933,111.76929403914,68.2307059608603
"32","OK","Lawton, OK",70,23.4,"1.612","1.57",25.4901630323883,87.8431141226718,52.1568858773282
"33","IL","Bloomington-Normal, IL",140,9.6,"1.608","1.56",22.0581363801184,170.881390932166,109.118609067834
"34","NY","Kingston, NY",90,8.1,"1.607","1.56",24.188104487933,111.76929403914,68.2307059608603
"35","KS","Topeka, KS",170,10,"1.604","1.56",21.1824883885925,206.010230260607,133.989769739393
"36","KY","Bowling Green, KY",90,6.8,"1.58","1.53",24.188104487933,111.76929403914,68.2307059608603
